link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-betania-bairros-sao-jose-dos-campos-com-garagem-99m2-venda-RS460000-id-2521499152/,"Vila Betânia, São José dos Campos - SP",99,2,2.0,2.0,"Piscina, Churrasqueira, Varanda, Quadra poliesportiva, TV a cabo",2000,480.0,2021-05-30 15:16:00,Vila Betânia
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS2400-id-2518488390/,"Rua Jesus Garcia, 111 - Jardim Aquarius, São José dos Campos - SP",80,2,2.0,1.0,0,2400,372.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-condominio-royal-park-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS2500-id-2520750941/,"Rua Jesus Garcia - Condomínio Royal Park, São José dos Campos - SP",80,2,1.0,1.0,0,2500,372.0,2021-05-30 15:16:00,Condomínio Royal Park
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS980-id-2516941458/,"Rua Antares - Jardim Satélite, São José dos Campos - SP",60,2,1.0,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Sauna",980,340.0,2021-05-30 15:16:00,Jardim Satélite
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-150m2-aluguel-RS3200-id-2510797884/,"Rua dos Dourados, 81 - Jardim Aquarius, São José dos Campos - SP",150,3,3.0,2.0,0,3200,800.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-58m2-aluguel-RS1540-id-2520629509/,"Rua Bacabal - Parque Industrial, São José dos Campos - SP",58,2,1.0,1.0,"Mobiliado, Elevador, Piscina, Churrasqueira, Salão de festas",1540,410.0,2021-05-30 15:16:00,Parque Industrial
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-84m2-aluguel-RS3600-id-2512943916/,"Vila Adyana, São José dos Campos - SP",84,2,2.0,2.0,"Elevador, Área de serviço, Espaço gourmet, Varanda gourmet, Gerador elétrico",3600,492.0,2021-05-30 15:16:00,Vila Adyana
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-interlagos-bairros-sao-jose-dos-campos-com-garagem-38m2-aluguel-RS800-id-2516405471/,"Rua Waldemar Teixeira - Parque Interlagos, São José dos Campos - SP",38,2,1.0,1.0,"Churrasqueira, Salão de festas, Playground, Vigia, Salão de jogos",800,298.0,2021-05-30 15:16:00,Parque Interlagos
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-das-colinas-bairros-sao-jose-dos-campos-com-garagem-259m2-venda-RS2500000-id-2520282576/,"Avenida São João, 0 - Jardim das Colinas, São José dos Campos - SP",259,4,5.0,25.0,"Piscina, Churrasqueira, Salão de festas, Playground, Academia",11000,0.0,2021-05-30 15:16:00,Jardim das Colinas
https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS1200-id-2517985913/,"Avenida Nove de Julho, 579 - Vila Adyana, São José dos Campos - SP",52,1,2.0,1.0,0,1200,252.0,2021-05-30 15:16:00,Vila Adyana
