id,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date
2494132750,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS1600-id-2494132750/,"Rua Doutor Jorge de Oliveira Coutinho - Parque Residencial Aquarius, São José dos Campos - SP",52,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 1.600 /mês,R$ 450,2021-05-14 09:02
2514159517,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-116m2-venda-RS750000-id-2514159517/,"Rua Teopompo de Vasconcelos - Vila Adyana, São José dos Campos - SP",116,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Área de serviço
Varanda
Cozinha
Interfone","R$ 3.500 /mês
R$ 750.000",R$ 490,2021-05-14 09:02
2519478780,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-96m2-aluguel-RS1900-id-2519478780/,"Vila Adyana, São José dos Campos - SP",96,3 Quartos,3 Banheiros,2 Vagas,"Piscina
Área de serviço
Salão de festas",R$ 1.900 /mês,R$ 881,2021-05-14 09:02
2509116174,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esplanada-ii-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS1600-id-2509116174/,"Rua Professor Roberval Froes, 490 - Jardim Esplanada II, São José dos Campos - SP",50,2 Quartos,1 Banheiro,2 Vagas,"Elevador
Área de serviço
Cozinha",R$ 1.600 /mês,R$ 350,2021-05-14 09:02
2504447494,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS800-id-2504447494/,"Centro, São José dos Campos - SP",100,3 Quartos,1 Banheiro,1 Vaga,"Elevador
Garagem
Cozinha",R$ 800 /mês,R$ 755,2021-05-14 09:02
2518167221,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-190m2-aluguel-RS2800-id-2518167221/,"Vila Adyana, São José dos Campos - SP",190,3 Quartos,2 Banheiros,1 Vaga,Elevador,R$ 2.800 /mês,R$ 950,2021-05-14 09:02
2514669747,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-126m2-aluguel-RS2900-id-2514669747/,"Jardim Esplanada, São José dos Campos - SP",126,4 Quartos,2 Banheiros,2 Vagas,"Área de serviço
Ar-condicionado
Condomínio fechado
Cozinha
Segurança 24h",R$ 2.900 /mês,R$ 1.050,2021-05-14 09:02
2502599173,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-62m2-aluguel-RS1650-id-2502599173/,"Rua da Alegria, 48 - Jardim Satélite, São José dos Campos - SP",62,2 Quartos,1 Banheiro,1 Vaga,"Elevador
Cozinha
Interfone",R$ 1.650 /mês,R$ 416,2021-05-14 09:02
93961328,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-125m2-venda-RS750000-id-93961328/,"Rua Jurema Vieira Medrado - Jardim Aquarius, São José dos Campos - SP",125,4 Quartos,4 Banheiros,2 Vagas,"Mobiliado
Elevador
Piscina
Área de serviço
Salão de festas","R$ 3.500 /mês
R$ 750.000",R$ 693,2021-05-14 09:02
2519239472,https://www.vivareal.com.br/imovel/apartamento-4-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-300m2-venda-RS1700000-id-2519239472/,"Avenida Heitor Villa Lobos, 600 - Vila Ema, São José dos Campos - SP",300,4 Quartos,7 Banheiros,3 Vagas,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira","R$ 21.600 /mês
R$ 1.700.000",R$ 1.300,2021-05-14 09:02
2518338813,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-paraiso-bairros-sao-jose-dos-campos-com-garagem-67m2-aluguel-RS1400-id-2518338813/,"Avenida João Batista de Souza Soares - Jardim Paraíso, São José dos Campos - SP",67,3 Quartos,1 Banheiro,1 Vaga,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 1.400 /mês,R$ 523,2021-05-14 09:02
2511639574,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-116m2-aluguel-RS4500-id-2511639574/,"Rua Jurema Vieira Medrado - Jardim Aquarius, São José dos Campos - SP",116,4 Quartos,3 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Depósito
Cozinha",R$ 4.500 /mês,R$ 760,2021-05-14 09:02
2518968667,https://www.vivareal.com.br/imovel/apartamento-3-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-104m2-aluguel-RS3000-id-2518968667/,"Rua José Alves dos Santos, 51 - Floradas de São José, São José dos Campos - SP",104,3 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda gourmet",R$ 3.000 /mês,R$ 390,2021-05-14 09:02
