id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2516247076,https://www.vivareal.com.br/imovel/apartamento-2-quartos-conjunto-residencial-trinta-e-um-de-marco-bairros-sao-jose-dos-campos-com-garagem-90m2-aluguel-RS2350-id-2516247076/,"Apartamento com 2 Quartos para Aluguel, 90m²","Rua Icatu, 300 - Conjunto Residencial Trinta e Um de Março, São José dos Campos - SP",90,2 Quartos,1 Banheiro,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",R$ 2.350 /mês,R$ 419,2021-05-14 08:40
2515635075,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-72m2-aluguel-RS2500-id-2515635075/,"Apartamento com 2 Quartos para Aluguel, 72m²","Rua Coronel José Domingues de Vasconcelos - Vila Adyana, São José dos Campos - SP",72,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Área de serviço
Churrasqueira
Sauna
Interfone",R$ 2.500 /mês,R$ 495,2021-05-14 08:40
2509626614,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-133m2-venda-RS1060000-id-2509626614/,Apartamento com 3 Quartos para Venda/Aluguel 133m²,"Avenida São João, 500 - Jardim Esplanada, São José dos Campos - SP",133,3 Quartos,1 Banheiro,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda","R$ 4.190 /mês
R$ 1.060.000",R$ 680,2021-05-14 08:40
2504673596,https://www.vivareal.com.br/imovel/apartamento-2-quartos-condominio-royal-park-bairros-sao-jose-dos-campos-com-garagem-78m2-aluguel-RS2500-id-2504673596/,"Apartamento com 2 Quartos para Aluguel, 78m²","Rua Jesus Garcia - Condomínio Royal Park, São José dos Campos - SP",78,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 2.500 /mês,R$ 450,2021-05-14 08:40
2516405471,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-interlagos-bairros-sao-jose-dos-campos-com-garagem-38m2-aluguel-RS800-id-2516405471/,"Apartamento com 2 Quartos para Aluguel, 38m²","Rua Waldemar Teixeira - Parque Interlagos, São José dos Campos - SP",38,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Salão de festas
Playground
Vigia
Salão de jogos",R$ 800 /mês,R$ 298,2021-05-14 08:40
2514348775,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-157m2-aluguel-RS5000-id-2514348775/,"Apartamento com 4 Quartos para Aluguel, 157m²","Rua Laurent Martins, 479 - Jardim Esplanada, São José dos Campos - SP",157,4 Quartos,4 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 5.000 /mês,R$ 750,2021-05-14 08:40
2519745047,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1100-id-2519745047/,"Apartamento com 3 Quartos para Aluguel, 68m²","Rua José Cobra, 302 - Parque Industrial, São José dos Campos - SP",68,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.100 /mês,R$ 492,2021-05-14 08:40
2518707083,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-40m2-aluguel-RS600-id-2518707083/,"Apartamento com Quarto para Aluguel, 40m²","Rua Paraibuna, 150 - Jardim São Dimas, São José dos Campos - SP",40,1 Quarto,1 Banheiro,-- Vaga,Aceita animais,R$ 600 /mês,R$ 270,2021-05-14 08:40
2518821343,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1600-id-2518821343/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua das Piabas, 130 - Jardim Aquarius, São José dos Campos - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",R$ 1.600 /mês,R$ 530,2021-05-14 08:40
2519587975,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-220m2-venda-RS1815000-id-2519587975/,Apartamento com 3 Quartos à Venda/Aluguel 220m²,"Parque Residencial Aquarius, São José dos Campos - SP",220,3 Quartos,3 Banheiros,4 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground","R$ 8.155 /mês
R$ 1.815.000",R$ 1.500,2021-05-14 08:40
2517847979,https://www.vivareal.com.br/imovel/apartamento-4-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-125m2-aluguel-RS2300-id-2517847979/,"Apartamento com 4 Quartos para Aluguel, 125m²","Avenida Cidade Jardim - Bosque dos Eucaliptos, São José dos Campos - SP",125,4 Quartos,1 Banheiro,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 2.300 /mês,R$ 680,2021-05-14 08:40
2519047832,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-176m2-aluguel-RS3000-id-2519047832/,"Apartamento com 3 Quartos para Aluguel, 176m²","Avenida São João - Jardim Esplanada, São José dos Campos - SP",176,3 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Elevador
Piscina
Salão de festas
Quadra poliesportiva",R$ 3.000 /mês,R$ 1.300,2021-05-14 08:40
2516600705,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-79m2-aluguel-RS2600-id-2516600705/,"Apartamento com 2 Quartos para Aluguel, 79m²","Rua das Baleias, 55 - Jardim Aquarius, São José dos Campos - SP",79,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Quadra poliesportiva
Varanda gourmet
Interfone",R$ 2.600 /mês,R$ 640,2021-05-14 08:40
2516412281,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-51m2-aluguel-RS800-id-2516412281/,"Apartamento com 2 Quartos para Aluguel, 51m²","Rua Mar Del Plata - Jardim América, São José dos Campos - SP",51,2 Quartos,1 Banheiro,1 Vaga,"Área de serviço
Condomínio fechado
Cozinha",R$ 800 /mês,R$ 280,2021-05-14 08:40
2515489502,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-62m2-aluguel-RS2700-id-2515489502/,"Apartamento com 2 Quartos para Aluguel, 62m²","Avenida do Tubarão - Jardim Aquarius, São José dos Campos - SP",62,2 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Salão de festas",R$ 2.700 /mês,R$ 529,2021-05-14 08:40
2503195282,https://www.vivareal.com.br/imovel/apartamento-2-quartos-urbanova-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1400-id-2503195282/,"Apartamento com 2 Quartos para Aluguel, 55m²","Avenida Shishima Hifumi, 3310 - Urbanova, São José dos Campos - SP",55,2 Quartos,1 Banheiro,1 Vaga,"Cozinha
Garagem",R$ 1.400 /mês,R$ 220,2021-05-14 08:40
2518488390,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS2400-id-2518488390/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Jesus Garcia, 111 - Jardim Aquarius, São José dos Campos - SP",80,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.400 /mês,R$ 372,2021-05-14 08:40
2518088420,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-das-colinas-bairros-sao-jose-dos-campos-com-garagem-278m2-aluguel-RS11000-id-2518088420/,"Apartamento com 3 Quartos para Aluguel, 278m²","Jardim das Colinas, São José dos Campos - SP",278,3 Quartos,4 Banheiros,4 Vagas,,R$ 11.000 /mês,R$ 1.000,2021-05-14 08:40
2518073076,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS600-id-2518073076/,"Apartamento com Quarto para Aluguel, 45m²","Vila Adyana, São José dos Campos - SP",45,1 Quarto,1 Banheiro,1 Vaga,,R$ 600 /mês,R$ 600,2021-05-14 08:40
2517976269,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1380-id-2517976269/,"Apartamento com 2 Quartos para Aluguel, 70m²","Parque Industrial, São José dos Campos - SP",70,2 Quartos,2 Banheiros,1 Vaga,,R$ 1.380 /mês,R$ 375,2021-05-14 08:40
2517224071,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS900-id-2517224071/,"Apartamento com Quarto para Aluguel, 50m²","Jardim São Dimas, São José dos Campos - SP",50,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Elevador
Área de serviço
Varanda
Cozinha",R$ 900 /mês,R$ 360,2021-05-14 08:40
2505302561,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-125m2-aluguel-RS4250-id-2505302561/,"Apartamento com 3 Quartos para Aluguel, 125m²","Avenida São João, 349 - Jardim Esplanada, São José dos Campos - SP",125,3 Quartos,4 Banheiros,3 Vagas,,R$ 4.250 /mês,,2021-05-14 08:40
2511778522,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1600-id-2511778522/,"Apartamento com 3 Quartos para Aluguel, 70m²","Rua Koichi Matsumura, 103 - Jardim América, São José dos Campos - SP",70,3 Quartos,1 Banheiro,2 Vagas,,R$ 1.600 /mês,R$ 467,2021-05-14 08:40
2515875574,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS2000-id-2515875574/,"Apartamento com 2 Quartos para Aluguel, 75m²","Parque Residencial Aquarius, São José dos Campos - SP",75,2 Quartos,2 Banheiros,2 Vagas,,R$ 2.000 /mês,R$ 550,2021-05-14 08:40
