,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood,zona
2477,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-da-granja-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1450-id-2514776311/,"Jardim da Granja, São José dos Campos - SP",65,3,2,1.0,"Piscina, Área de serviço, Churrasqueira, Salão de festas, Playground",1450,350.0,2021-06-20 09:47:00,Jardim da Granja,Sudeste
2610,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-souto-bairros-sao-jose-dos-campos-50m2-aluguel-RS1300-id-2518139164/,"Jardim Souto, São José dos Campos - SP",50,2,1,0.0,"Área de serviço, Condomínio fechado, Cozinha",1300,360.0,2021-06-20 09:48:00,Jardim Souto,Sudeste
2675,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-53m2-venda-RS160000-id-2508934584/,"Vila Iracema, São José dos Campos - SP",53,2,1,1.0,"Churrasqueira, Playground, Quadra poliesportiva, Segurança 24h, Salão de jogos",680,280.0,2021-06-20 09:48:00,Vila Iracema,Sudeste
2782,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-leopoldo-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS960-id-2517298883/,"Jardim São Leopoldo, São José dos Campos - SP",70,2,1,1.0,0,960,290.0,2021-06-20 09:49:00,Jardim São Leopoldo,Sudeste
2801,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-leopoldo-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS900-id-2500176907/,"Jardim São Leopoldo, São José dos Campos - SP",70,2,1,1.0,0,900,260.0,2021-06-20 09:49:00,Jardim São Leopoldo,Sudeste
2882,https://www.vivareal.com.br/imovel/apartamento-2-quartos-putim-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS700-id-2518008634/,"Putim, São José dos Campos - SP",70,2,1,1.0,0,700,260.0,2021-06-20 09:50:00,Putim,Sudeste
2883,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS700-id-2518008965/,"Vila Iracema, São José dos Campos - SP",45,2,1,1.0,0,700,277.0,2021-06-20 09:50:00,Vila Iracema,Sudeste
11,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oriente-bairros-sao-jose-dos-campos-com-garagem-61m2-aluguel-RS1300-id-2520833422/,"Praça Alexandre Magno - Jardim Oriente, São José dos Campos - SP",61,2,1,1.0,0,1300,258.0,2021-06-20 09:31:00,Jardim Oriente,Sul
16,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS800-id-2520751480/,"Rua Álvaro Gonçalves Júnior, 330 - Parque Industrial, São José dos Campos - SP",50,2,1,1.0,0,800,345.0,2021-06-20 09:31:00,Parque Industrial,Sul
18,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS1600-id-2523195881/,"Rua Palmares - Parque Industrial, São José dos Campos - SP",75,2,2,1.0,"Mobiliado, Elevador, Área de serviço, Churrasqueira, Varanda",1600,308.0,2021-06-20 09:31:00,Parque Industrial,Sul
