,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood,zona
1297,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-65m2-venda-RS297000-id-2523679147/,"Vila Tesouro, São José dos Campos - SP",65,3,2,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",1400,305.0,2021-06-20 09:39:00,Vila Tesouro,Leste
1309,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS620-id-2517776968/,"Avenida Presidente Tancredo Neves - Jardim Americano, São José dos Campos - SP",50,2,1,1.0,"Piscina, Área de serviço, Churrasqueira, Salão de festas, Varanda",620,350.0,2021-06-20 09:39:00,Jardim Americano,Leste
1311,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-vista-verde-bairros-sao-jose-dos-campos-com-garagem-67m2-aluguel-RS1100-id-2522021869/,"Cidade Vista Verde, São José dos Campos - SP",67,2,1,1.0,"Área de serviço, Churrasqueira, Salão de festas, Playground, Varanda",1100,227.0,2021-06-20 09:39:00,Cidade Vista Verde,Leste
1325,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-99m2-aluguel-RS3000-id-2523021711/,"Vila Industrial, São José dos Campos - SP",99,3,1,2.0,Piscina,3000,0.0,2021-06-20 09:39:00,Vila Industrial,Leste
1328,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-vista-verde-bairros-sao-jose-dos-campos-com-garagem-69m2-aluguel-RS1300-id-2522943712/,"Cidade Vista Verde, São José dos Campos - SP",69,2,2,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Varanda",1300,500.0,2021-06-20 09:39:00,Cidade Vista Verde,Leste
1334,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS1000-id-2502334992/,"Jardim Santa Inês III, São José dos Campos - SP",40,2,1,1.0,"Churrasqueira, Playground, Salão de jogos, Garagem, Interfone",1000,0.0,2021-06-20 09:39:00,Jardim Santa Inês III,Leste
1528,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS1800-id-2508415867/,"Avenida Presidente Tancredo Neves, 0 - Jardim Americano, São José dos Campos - SP",50,2,1,1.0,0,1800,0.0,2021-06-20 09:40:00,Jardim Americano,Leste
1563,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-50m2-venda-RS220000-id-2509311799/,"Jardim Americano, São José dos Campos - SP",50,2,1,1.0,"Mobiliado, Piscina, Varanda, Varanda gourmet, Cozinha",1600,0.0,2021-06-20 09:41:00,Jardim Americano,Leste
1589,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-44m2-aluguel-RS900-id-2520574200/,"Jardim Nova Michigan, São José dos Campos - SP",44,2,1,1.0,"Área de serviço, Churrasqueira, Salão de festas, Playground, Varanda",900,280.0,2021-06-20 09:41:00,Jardim Nova Michigan,Leste
1595,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS935-id-2505574236/,"Jardim Santa Inês I, São José dos Campos - SP",47,2,1,1.0,"Churrasqueira, Playground, Varanda, Quadra poliesportiva, Segurança 24h",935,0.0,2021-06-20 09:41:00,Jardim Santa Inês I,Leste
1629,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS610-id-2519915378/,"Rua Albenzio Romancini - Jardim Santa Inês III, São José dos Campos - SP",52,2,1,1.0,"Área de serviço, Churrasqueira, Varanda, Condomínio fechado, Cozinha",610,250.0,2021-06-20 09:41:00,Jardim Santa Inês III,Leste
1664,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-vista-verde-bairros-sao-jose-dos-campos-com-garagem-69m2-aluguel-RS800-id-2524200847/,"Avenida Pedro Friggi - Cidade Vista Verde, São José dos Campos - SP",69,2,1,1.0,"Churrasqueira, Salão de festas, Playground, Quadra poliesportiva, Armário na cozinha",800,300.0,2021-06-20 09:41:00,Cidade Vista Verde,Leste
1671,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-copacabana-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS1100-id-2521978958/,"Rua Charles Diamond - Jardim Copacabana, São José dos Campos - SP",47,2,1,1.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",1100,320.0,2021-06-20 09:41:00,Jardim Copacabana,Leste
1672,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-55m2-venda-RS280000-id-2522857707/,"Rua José Polli - Vila Industrial, São José dos Campos - SP",55,2,1,1.0,"Elevador, Piscina, Churrasqueira, Playground, Academia",1300,250.0,2021-06-20 09:41:00,Vila Industrial,Leste
1697,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-44m2-aluguel-RS1000-id-2516711589/,"Vila Tesouro, São José dos Campos - SP",44,2,1,1.0,"Área de serviço, Churrasqueira, Salão de festas, Varanda, Circuito de segurança",1000,0.0,2021-06-20 09:42:00,Vila Tesouro,Leste
1750,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-paineiras-i-bairros-sao-jose-dos-campos-com-garagem-46m2-aluguel-RS700-id-2514648080/,"Jardim das Paineiras I, São José dos Campos - SP",46,2,1,1.0,Varanda,700,185.0,2021-06-20 09:42:00,Jardim das Paineiras I,Leste
1765,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-64m2-aluguel-RS880-id-2520622356/,"Rua Albenzio Romancini, 681 - Jardim Santa Inês III, São José dos Campos - SP",64,2,1,1.0,0,880,250.0,2021-06-20 09:42:00,Jardim Santa Inês III,Leste
1767,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-49m2-aluguel-RS920-id-2522836813/,"Vila Tesouro, São José dos Campos - SP",49,2,1,1.0,Cozinha,920,0.0,2021-06-20 09:42:00,Vila Tesouro,Leste
1841,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-nova-esperanca-bairros-sao-jose-dos-campos-com-garagem-49m2-aluguel-RS600-id-2522910188/,"Rua José Castrioto - Parque Nova Esperança, São José dos Campos - SP",49,2,1,1.0,"Área de serviço, Salão de festas, Varanda",600,290.0,2021-06-20 09:43:00,Parque Nova Esperança,Leste
1846,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-54m2-aluguel-RS950-id-2512588387/,"Jardim Santa Inês I, São José dos Campos - SP",54,2,1,1.0,"Churrasqueira, Salão de festas, Playground, Varanda, Quadra poliesportiva",950,238.0,2021-06-20 09:43:00,Jardim Santa Inês I,Leste
1855,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-ii-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS710-id-2521823255/,"Avenida Iracy Pires da Almeida Puccini - Jardim Santa Inês II, São José dos Campos - SP",56,2,1,1.0,"Piscina, Área de serviço, Churrasqueira, Varanda",710,370.0,2021-06-20 09:43:00,Jardim Santa Inês II,Leste
1870,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS800-id-2520364634/,"Avenida das Oliveiras, 300 - Jardim Santa Inês III, São José dos Campos - SP",45,2,1,1.0,"Churrasqueira, Salão de festas, Playground, Segurança 24h",800,0.0,2021-06-20 09:43:00,Jardim Santa Inês III,Leste
1881,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS850-id-2506487937/,"Jardim Santa Inês I, São José dos Campos - SP",50,2,1,1.0,"Área de serviço, Churrasqueira, Salão de festas, Playground, Varanda",850,225.0,2021-06-20 09:43:00,Jardim Santa Inês I,Leste
1926,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-53m2-aluguel-RS690-id-2521059809/,"Rua Albenzio Romancini - Jardim Santa Inês I, São José dos Campos - SP",53,2,1,1.0,"Churrasqueira, Varanda, Quadra poliesportiva, Sistema de alarme, Quintal",690,191.0,2021-06-20 09:43:00,Jardim Santa Inês I,Leste
1935,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-51m2-aluguel-RS1100-id-2493600721/,"Jardim Americano, São José dos Campos - SP",51,2,1,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Varanda",1100,330.0,2021-06-20 09:43:00,Jardim Americano,Leste
1939,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-paineiras-ii-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS560-id-2519234690/,"Avenida Sinaloa - Jardim das Paineiras II, São José dos Campos - SP",45,2,1,1.0,"Área de serviço, Condomínio fechado",560,200.0,2021-06-20 09:43:00,Jardim das Paineiras II,Leste
1943,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS700-id-2516008588/,"Jardim Nova Michigan, São José dos Campos - SP",56,2,1,1.0,"Área de serviço, Churrasqueira, Salão de festas, Playground, Varanda",700,295.0,2021-06-20 09:43:00,Jardim Nova Michigan,Leste
1962,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-50m2-aluguel-RS670-id-2517766682/,"Jardim Americano, São José dos Campos - SP",50,2,1,0.0,"Piscina, Varanda, Varanda gourmet, Piscina para adulto, Espelhos d'água",670,350.0,2021-06-20 09:44:00,Jardim Americano,Leste
1968,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-40m2-venda-RS150000-id-2501001446/,"Jardim Santa Inês III, São José dos Campos - SP",40,2,1,1.0,"Área de serviço, Churrasqueira, Condomínio fechado, Espaço gourmet, Cozinha",780,220.0,2021-06-20 09:44:00,Jardim Santa Inês III,Leste
1978,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-44m2-aluguel-RS700-id-2454017018/,"Jardim Santa Inês I, São José dos Campos - SP",44,2,1,1.0,"Churrasqueira, Salão de festas, Playground, Varanda, Circuito de segurança",700,320.0,2021-06-20 09:44:00,Jardim Santa Inês I,Leste
1982,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-64m2-aluguel-RS860-id-2513933585/,"Jardim Santa Inês I, São José dos Campos - SP",64,2,1,1.0,"Área de serviço, Varanda",860,230.0,2021-06-20 09:44:00,Jardim Santa Inês I,Leste
1999,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS600-id-2493598943/,"Jardim Santa Inês I, São José dos Campos - SP",40,2,1,1.0,"Área de serviço, Churrasqueira, Salão de festas, Varanda, Circuito de segurança",600,305.0,2021-06-20 09:44:00,Jardim Santa Inês I,Leste
2010,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-vista-verde-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS700-id-2516368807/,"Cidade Vista Verde, São José dos Campos - SP",56,2,1,1.0,"Playground, Varanda, Circuito de segurança, Segurança 24h",700,298.0,2021-06-20 09:44:00,Cidade Vista Verde,Leste
2021,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-42m2-aluguel-RS600-id-2519057893/,"Vila Industrial, São José dos Campos - SP",42,2,1,1.0,"Área de serviço, Condomínio fechado, Cozinha, Interfone",600,200.0,2021-06-20 09:44:00,Vila Industrial,Leste
2026,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-vista-verde-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS920-id-2521080175/,"Cidade Vista Verde, São José dos Campos - SP",52,2,1,1.0,"Playground, Varanda, Segurança 24h",920,237.0,2021-06-20 09:44:00,Cidade Vista Verde,Leste
2042,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS700-id-2515489285/,"Vila Tesouro, São José dos Campos - SP",50,2,1,1.0,"Área de serviço, Condomínio fechado, Sistema de alarme, Lavanderia, Cozinha",700,235.0,2021-06-20 09:44:00,Vila Tesouro,Leste
2050,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS530-id-2518847108/,"Jardim Nova Michigan, São José dos Campos - SP",50,2,1,1.0,"Salão de festas, Playground, Varanda, Quadra poliesportiva, Circuito de segurança",530,220.0,2021-06-20 09:44:00,Jardim Nova Michigan,Leste
2061,https://www.vivareal.com.br/imovel/apartamento-2-quartos-conjunto-residencial-galo-branco-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS540-id-2523138713/,"Conjunto Residencial Galo Branco, São José dos Campos - SP",47,2,1,1.0,0,540,260.0,2021-06-20 09:44:00,Conjunto Residencial Galo Branco,Leste
2073,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1000-id-2515435362/,"Vila Industrial, São José dos Campos - SP",68,2,1,1.0,Varanda,1000,340.0,2021-06-20 09:44:00,Vila Industrial,Leste
2074,https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-frei-galvao-bairros-sao-jose-dos-campos-com-garagem-42m2-aluguel-RS720-id-2524092904/,"Avenida das Oliveiras - Residencial Frei Galvao, São José dos Campos - SP",42,2,1,1.0,"Churrasqueira, Quadra poliesportiva",720,265.0,2021-06-20 09:44:00,Residencial Frei Galvao,Leste
2075,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-50m2-venda-RS160000-id-2520561993/,"Avenida Presidente Juscelino Kubitschek - Vila Industrial, São José dos Campos - SP",50,2,1,1.0,"Área de serviço, Churrasqueira, Quadra poliesportiva, Cozinha, Interfone",750,270.0,2021-06-20 09:44:00,Vila Industrial,Leste
2117,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-castanheira-bairros-sao-jose-dos-campos-40m2-aluguel-RS550-id-2503017225/,"Jardim Castanheira, São José dos Campos - SP",40,1,1,0.0,Varanda,550,0.0,2021-06-20 09:45:00,Jardim Castanheira,Leste
2122,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS750-id-2522022490/,"Vila Tesouro, São José dos Campos - SP",45,2,1,1.0,"Churrasqueira, Salão de festas, Playground, Varanda, Quadra poliesportiva",750,280.0,2021-06-20 09:45:00,Vila Tesouro,Leste
2181,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-paineiras-ii-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS900-id-2520879691/,"Avenida Sinaloa - Jardim das Paineiras II, São José dos Campos - SP",45,2,1,1.0,Área de serviço,900,160.0,2021-06-20 09:45:00,Jardim das Paineiras II,Leste
2183,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-62m2-venda-RS181000-id-2502868317/,"Jardim Santa Inês III, São José dos Campos - SP",62,2,1,1.0,"Churrasqueira, Quadra poliesportiva",770,240.0,2021-06-20 09:45:00,Jardim Santa Inês III,Leste
2189,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS1200-id-2520873846/,"Avenida Presidente Tancredo Neves - Jardim Americano, São José dos Campos - SP",50,2,1,1.0,"Elevador, Piscina, Churrasqueira, Varanda, Quadra poliesportiva",1200,370.0,2021-06-20 09:45:00,Jardim Americano,Leste
2194,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-40m2-venda-RS154000-id-2502867269/,"Jardim Santa Inês III, São José dos Campos - SP",40,2,1,1.0,Quadra poliesportiva,605,300.0,2021-06-20 09:45:00,Jardim Santa Inês III,Leste
2206,https://www.vivareal.com.br/imovel/apartamento-3-quartos-loteamento-residencial-vista-linda-bairros-sao-jose-dos-campos-com-garagem-70m2-venda-RS288000-id-2520079404/,"Loteamento Residencial Vista Linda , São José dos Campos - SP",70,3,2,1.0,0,1300,0.0,2021-06-20 09:45:00,Loteamento Residencial Vista Linda ,Leste
2211,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-48m2-aluguel-RS650-id-2516331580/,"Vila Industrial, São José dos Campos - SP",48,2,1,0.0,"Varanda, Segurança 24h",650,250.0,2021-06-20 09:45:00,Vila Industrial,Leste
2228,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-48m2-venda-RS160000-id-2513650547/,"Vila Industrial, São José dos Campos - SP",48,2,1,1.0,Segurança 24h,710,270.0,2021-06-20 09:45:00,Vila Industrial,Leste
2229,https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-frei-galvao-bairros-sao-jose-dos-campos-com-garagem-44m2-aluguel-RS600-id-2499798120/,"Residencial Frei Galvao, São José dos Campos - SP",44,2,1,1.0,"Área de serviço, Condomínio fechado, Sistema de alarme, Cozinha, Interfone",600,305.0,2021-06-20 09:45:00,Residencial Frei Galvao,Leste
2246,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS780-id-2519180029/,"Jardim Santa Inês I, São José dos Campos - SP",52,2,1,1.0,"Área de serviço, Churrasqueira, Varanda",780,228.0,2021-06-20 09:45:00,Jardim Santa Inês I,Leste
2256,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS1025-id-2502867370/,"Jardim Santa Inês III, São José dos Campos - SP",45,2,1,1.0,"Área de serviço, Churrasqueira",1025,320.0,2021-06-20 09:46:00,Jardim Santa Inês III,Leste
2263,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS700-id-2522941630/,"Vila Industrial, São José dos Campos - SP",48,2,1,1.0,"Área de serviço, Varanda, Circuito de segurança, Vigia, Segurança 24h",700,260.0,2021-06-20 09:46:00,Vila Industrial,Leste
2264,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-51m2-aluguel-RS700-id-2493601948/,"Jardim Americano, São José dos Campos - SP",51,2,1,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Varanda",700,260.0,2021-06-20 09:46:00,Jardim Americano,Leste
2282,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS550-id-2514797693/,"Avenida Presidente Tancredo Neves - Jardim Americano, São José dos Campos - SP",48,2,1,1.0,Interfone,550,380.0,2021-06-20 09:46:00,Jardim Americano,Leste
2289,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-americano-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS900-id-2520807966/,"Avenida Presidente Tancredo Neves - Jardim Americano, São José dos Campos - SP",55,2,1,1.0,"Área de serviço, Salão de festas, Varanda, Academia",900,350.0,2021-06-20 09:46:00,Jardim Americano,Leste
2301,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS1350-id-2508208686/,"Jardim Santa Inês I, São José dos Campos - SP",56,2,1,1.0,"Piscina, Área de serviço, Churrasqueira, Salão de festas, Playground",1350,0.0,2021-06-20 09:46:00,Jardim Santa Inês I,Leste
2347,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-copacabana-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1399-id-2521467032/,"Jardim Copacabana, São José dos Campos - SP",65,3,1,1.0,"Varanda, Condomínio fechado, Espaço gourmet, Lavanderia, Segurança 24h",1399,350.0,2021-06-20 09:46:00,Jardim Copacabana,Leste
2374,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-42m2-aluguel-RS770-id-2499193688/,"Jardim Nova Michigan, São José dos Campos - SP",42,2,1,1.0,"Churrasqueira, Salão de festas, Playground, Varanda, Quadra poliesportiva",770,200.0,2021-06-20 09:46:00,Jardim Nova Michigan,Leste
2391,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-nova-esperanca-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS700-id-2522126851/,"Rua José Castrioto - Parque Nova Esperança, São José dos Campos - SP",45,2,1,1.0,0,700,221.0,2021-06-20 09:46:00,Parque Nova Esperança,Leste
2393,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-40m2-venda-RS180000-id-2518771682/,"Estrada do Mato Dentro - Jardim Nova Michigan, São José dos Campos - SP",40,2,1,1.0,"Área de serviço, Churrasqueira, Quadra poliesportiva, Interfone",800,266.0,2021-06-20 09:46:00,Jardim Nova Michigan,Leste
2394,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-53m2-venda-RS230000-id-2516900163/,"Avenida Iracy Pires da Almeida Puccini - Jardim Santa Inês I, São José dos Campos - SP",53,2,1,1.0,"Piscina, Área de serviço, Churrasqueira, Varanda, Varanda gourmet",1000,300.0,2021-06-20 09:46:00,Jardim Santa Inês I,Leste
2410,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS670-id-2517298159/,"Jardim Santa Inês III, São José dos Campos - SP",45,2,1,1.0,"Área de serviço, Churrasqueira, Condomínio fechado, Cozinha, Interfone",670,230.0,2021-06-20 09:47:00,Jardim Santa Inês III,Leste
2414,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-49m2-aluguel-RS650-id-2498320809/,"Jardim Santa Inês I, São José dos Campos - SP",49,2,1,1.0,"Área de serviço, Varanda",650,220.0,2021-06-20 09:47:00,Jardim Santa Inês I,Leste
2418,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-paineiras-ii-bairros-sao-jose-dos-campos-com-garagem-49m2-aluguel-RS700-id-2508452379/,"Jardim das Paineiras II, São José dos Campos - SP",49,2,1,1.0,Varanda,700,150.0,2021-06-20 09:47:00,Jardim das Paineiras II,Leste
2430,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-copacabana-bairros-sao-jose-dos-campos-com-garagem-48m2-venda-RS235000-id-2523576787/,"Jardim Copacabana, São José dos Campos - SP",48,2,1,1.0,"Piscina, Condomínio fechado, Espaço gourmet, Segurança 24h, Salão de jogos",900,300.0,2021-06-20 09:47:00,Jardim Copacabana,Leste
2451,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-vicente-bairros-sao-jose-dos-campos-com-garagem-52m2-venda-RS215000-id-2521832317/,"Jardim São Vicente, São José dos Campos - SP",52,2,1,1.0,0,800,238.0,2021-06-20 09:47:00,Jardim São Vicente,Leste
2455,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS950-id-2522986683/,"Vila Tesouro, São José dos Campos - SP",50,2,1,1.0,0,950,290.0,2021-06-20 09:47:00,Vila Tesouro,Leste
2458,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-58m2-aluguel-RS900-id-2523226234/,"Jardim Santa Inês III, São José dos Campos - SP",58,2,1,1.0,0,900,275.0,2021-06-20 09:47:00,Jardim Santa Inês III,Leste
2475,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-41m2-venda-RS150000-id-2505156791/,"Estrada do Mato Dentro - Jardim Nova Michigan, São José dos Campos - SP",41,2,1,1.0,"Área de serviço, Churrasqueira, Quadra poliesportiva, Cozinha",630,279.0,2021-06-20 09:47:00,Jardim Nova Michigan,Leste
2484,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS800-id-2523951224/,"Rua Mário Campos - Vila Tesouro, São José dos Campos - SP",48,2,2,1.0,0,800,240.0,2021-06-20 09:47:00,Vila Tesouro,Leste
2487,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-i-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS900-id-2498882156/,"Jardim Santa Inês I, São José dos Campos - SP",40,2,1,1.0,"Churrasqueira, Salão de festas, Varanda, Circuito de segurança, Salão de jogos",900,300.0,2021-06-20 09:47:00,Jardim Santa Inês I,Leste
2543,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-42m2-aluguel-RS700-id-2520324987/,"Rodovia Presidente Dutra - Jardim Santa Inês III, São José dos Campos - SP",42,2,1,1.0,"Área de serviço, Salão de festas",700,250.0,2021-06-20 09:47:00,Jardim Santa Inês III,Leste
2545,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-copacabana-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS1000-id-2523157747/,"Jardim Copacabana, São José dos Campos - SP",48,2,1,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Quadra poliesportiva",1000,230.0,2021-06-20 09:47:00,Jardim Copacabana,Leste
2561,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-paineiras-ii-bairros-sao-jose-dos-campos-com-garagem-42m2-aluguel-RS750-id-2506857898/,"Jardim das Paineiras II, São José dos Campos - SP",42,2,1,1.0,"Churrasqueira, Quadra poliesportiva, Condomínio fechado",750,250.0,2021-06-20 09:48:00,Jardim das Paineiras II,Leste
2563,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-mariana-ii-bairros-sao-jose-dos-campos-65m2-venda-RS195000-id-2500997495/,"Rua Antonio Marcos de Oliveira - Jardim Mariana II, São José dos Campos - SP",65,2,1,0.0,"Área de serviço, Varanda, Cozinha",750,50.0,2021-06-20 09:48:00,Jardim Mariana II,Leste
2581,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-68m2-aluguel-RS800-id-2518244542/,"Vila Tesouro, São José dos Campos - SP",68,2,1,0.0,"Área de serviço, Cozinha",800,510.0,2021-06-20 09:48:00,Vila Tesouro,Leste
