link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood
https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS3500-id-2497214479/,"Jardim Aquarius, São José dos Campos - SP",50,1,1,1.0,0,3500,350.0,2021-06-20 09:36:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-41m2-aluguel-RS1100-id-2519308898/,"Rua Ismael Vieira das Neves - Jardim São Dimas, São José dos Campos - SP",41,1,1,1.0,0,1100,500.0,2021-06-20 09:36:00,Jardim São Dimas
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-vale-do-sol-bairros-sao-jose-dos-campos-com-garagem-52m2-venda-RS200000-id-2521468678/,"Rua Salvador Lahoz - Jardim Vale do Sol, São José dos Campos - SP",52,2,1,1.0,0,900,130.0,2021-06-20 09:36:00,Jardim Vale do Sol
https://www.vivareal.com.br/imovel/apartamento-2-quartos-condominio-royal-park-bairros-sao-jose-dos-campos-com-garagem-78m2-aluguel-RS3000-id-1323275482/,"Rua Jesus Garcia, 111 - Condomínio Royal Park, São José dos Campos - SP",78,2,2,2.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Salão de festas",3000,320.0,2021-06-20 09:36:00,Condomínio Royal Park
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-102m2-venda-RS580000-id-2523709021/,"Jardim Aquarius, São José dos Campos - SP",102,3,2,2.0,Piscina,2400,590.0,2021-06-20 09:36:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-4-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-132m2-venda-RS595000-id-2524074469/,"Rua das Piabas - Parque Residencial Aquarius, São José dos Campos - SP",132,4,1,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",2800,670.0,2021-06-20 09:36:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-71m2-aluguel-RS2500-id-2524076744/,"Avenida Salmão - Parque Residencial Aquarius, São José dos Campos - SP",71,2,1,1.0,"Piscina, Churrasqueira, Salão de festas, Playground, Varanda",2500,420.0,2021-06-20 09:36:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-85m2-aluguel-RS3500-id-2499285731/,"Rua do Aruana, 76 - Jardim Aquarius, São José dos Campos - SP",85,2,1,2.0,"Mobiliado, Elevador, Piscina, Área de serviço, Churrasqueira",3500,850.0,2021-06-20 09:36:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-augusta-bairros-sao-jose-dos-campos-com-garagem-63m2-aluguel-RS1500-id-2522029411/,"Rua Roma - Jardim Augusta, São José dos Campos - SP",63,2,2,1.0,0,1500,310.0,2021-06-20 09:36:00,Jardim Augusta
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-94m2-aluguel-RS1300-id-2522945706/,"Jardim Aquarius, São José dos Campos - SP",94,3,3,2.0,"Elevador, Área de serviço, Varanda, Condomínio fechado, Cozinha",1300,650.0,2021-06-20 09:36:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-87m2-aluguel-RS2500-id-2524077346/,"Avenida Doutor Adhemar de Barros - Jardim São Dimas, São José dos Campos - SP",87,3,1,1.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",2500,730.0,2021-06-20 09:36:00,Jardim São Dimas
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-288m2-aluguel-RS7500-id-2517448477/,"Vila Ema, São José dos Campos - SP",288,3,6,3.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Sauna",7500,1300.0,2021-06-20 09:36:00,Vila Ema
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-uira-bairros-sao-jose-dos-campos-com-garagem-60m2-venda-RS268000-id-2522548813/,"Avenida Livio Veneziani - Jardim Uira, São José dos Campos - SP",60,2,1,1.0,0,1200,380.0,2021-06-20 09:36:00,Jardim Uira
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-industrias-bairros-sao-jose-dos-campos-90m2-aluguel-RS1100-id-2520078905/,"Rua dos Crisântemos - Jardim das Indústrias, São José dos Campos - SP",90,2,1,0.0,0,1100,0.0,2021-06-20 09:36:00,Jardim das Indústrias
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS2700-id-2522865312/,"Avenida do Tubarão, 300 - Parque Residencial Aquarius, São José dos Campos - SP",75,2,2,2.0,"Mobiliado, Elevador, Piscina, Salão de festas, Playground",2700,530.0,2021-06-20 09:36:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-souto-bairros-sao-jose-dos-campos-com-garagem-72m2-aluguel-RS2150-id-2488745667/,"Rua Avião Tangará - Jardim Souto, São José dos Campos - SP",72,3,2,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",2150,460.0,2021-06-20 09:36:00,Jardim Souto
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS3500-id-2518359384/,"Jardim Aquarius, São José dos Campos - SP",50,2,2,1.0,"Elevador, Piscina, Área de serviço, Varanda gourmet, Cozinha",3500,375.0,2021-06-20 09:36:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-paraiso-do-sol-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1300-id-2523584496/,"Jardim Paraiso do Sol, São José dos Campos - SP",65,3,2,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Cozinha",1300,280.0,2021-06-20 09:36:00,Jardim Paraiso do Sol
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tatetuba-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1000-id-2524033039/,"Rua dos Pardais, 170 - Vila Tatetuba, São José dos Campos - SP",70,2,1,1.0,"Elevador, Portão eletrônico",1000,300.0,2021-06-20 09:36:00,Vila Tatetuba
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-157m2-venda-RS1430000-id-2509513598/,"Jardim Esplanada, São José dos Campos - SP",157,4,4,2.0,"Churrasqueira, Salão de festas, Playground, Sauna, Quadra poliesportiva",5000,880.0,2021-06-20 09:36:00,Jardim Esplanada
https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-industrias-bairros-sao-jose-dos-campos-com-garagem-27m2-aluguel-RS650-id-2524074472/,"Rua Heitor de Andrade - Jardim das Indústrias, São José dos Campos - SP",27,1,1,1.0,0,650,0.0,2021-06-20 09:36:00,Jardim das Indústrias
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS2500-id-2483997001/,"Rua Benedito Osvaldo Lecques, 190 - Jardim Aquarius, São José dos Campos - SP",80,3,2,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",2500,388.0,2021-06-20 09:36:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-46m2-venda-RS190000-id-2516166403/,"Estrada Municipal Martins Guimarães - Vila Tesouro, São José dos Campos - SP",46,2,1,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",850,300.0,2021-06-20 09:36:00,Vila Tesouro
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-del-rey-bairros-sao-jose-dos-campos-com-garagem-65m2-aluguel-RS1200-id-2524077667/,"Rua José Bonifácio de Oliveira - Jardim Del Rey, São José dos Campos - SP",65,2,1,1.0,"Churrasqueira, Salão de festas, Varanda",1200,304.0,2021-06-20 09:36:00,Jardim Del Rey
